what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1490496255836
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1490496255836
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1490496255837
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1490496255837
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1490496255838
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1490496255838
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1490496255839
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1490496255839
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1490496255840
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1490496255841
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1490496255841
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1490496255841
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1490496255842
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1490496255842
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1490496255842
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1490496255843
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1490496255843
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1490496255843
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1490496255844
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1490496255844
os,sysinfo,,,"linux",1490496255846
arch,sysinfo,,,"x86",1490496255846
ws,sysinfo,,,"gtk",1490496255846
locale,sysinfo,,,"en_US",1490496255846
processors,sysinfo,,,"8",1490496255846
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1490496255846
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1490496255846
java.specification.name,sysinfo,,,"Java Platform API Specification",1490496255846
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490496255846
java.specification.version,sysinfo,,,"1.6",1490496255846
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1490496255846
java.version,sysinfo,,,"1.6.0_23",1490496255846
java.vm.info,sysinfo,,,"mixed mode",1490496255846
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1490496255846
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1490496255846
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1490496255846
java.vm.specification.version,sysinfo,,,"1.0",1490496255846
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1490496255846
java.vm.version,sysinfo,,,"19.0-b09",1490496255846
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1490496256367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1490496272511
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1490496274830
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1490496274936
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1490496274968
